800, 6.25, 0.022559636961545025
1800, 2.7777777777777777, 0.0022594566571542403
3200, 1.5625, 0.0011961690488512782
5000, 1.0, 0.001197654995528652
7200, 0.6944444444444444, 0.0011157185153285256
9800, 0.5102040816326532, 0.0010396366131147359
12800, 0.390625, 0.0009743776019607336
16200, 0.3086419753086421, 0.0009182783914720057
20000, 0.25, 0.0008697159038260474
24200, 0.20661157024793383, 0.0008273290794992302
28800, 0.1736111111111111, 0.0007900312573308351
33800, 0.14792899408284027, 0.0007569485772425057
